{'opt': 'adam', 'truncate': -1, 'feat': 'basic', 'activation': ['bi-relu'], 'drates': [0, 0], 'sample': False, 'epoch': 1, 'bias': [1], 'lr': 0.005, 'fepoch': 400, 'hidden': [50], 'data': '', 'norm': 7.0}
['c= ', 'c=!', 'c="', 'c=$', 'c=%', 'c=&', "c='", 'c=(', 'c=)', 'c=*', 'c=+', 'c=,', 'c=-', 'c=.', 'c=/', 'c=0', 'c=1', 'c=2', 'c=3', 'c=4', 'c=5', 'c=6', 'c=7', 'c=8', 'c=9', 'c=:', 'c=;', 'c==', 'c=?', 'c=@', 'c=A', 'c=B', 'c=C', 'c=D', 'c=E', 'c=F', 'c=G', 'c=H', 'c=I', 'c=J', 'c=K', 'c=L', 'c=M', 'c=N', 'c=O', 'c=P', 'c=Q', 'c=R', 'c=S', 'c=T', 'c=U', 'c=V', 'c=W', 'c=X', 'c=Y', 'c=Z', 'c=[', 'c=]', 'c=`', 'c=a', 'c=b', 'c=c', 'c=d', 'c=e', 'c=f', 'c=g', 'c=h', 'c=i', 'c=j', 'c=k', 'c=l', 'c=m', 'c=n', 'c=o', 'c=p', 'c=q', 'c=r', 'c=s', 'c=t', 'c=u', 'c=v', 'c=w', 'c=x', 'c=y', 'c=z']
['b-LOC' 'b-MISC' 'b-ORG' 'b-PER' 'i-LOC' 'i-MISC' 'i-ORG' 'i-PER' 'l-LOC'
 'l-MISC' 'l-ORG' 'l-PER' 'o' 'u-LOC' 'u-MISC' 'u-ORG' 'u-PER']
# of sents:  [14041, 3250, 3453]
# of feats:  85
# of lbls:  17
(1079622, 85) (272309, 85)
(1079622,) (272309,)
14041 3250
...building the model
...training the model
Epoch: 1 Loss: 428358.633620 Error: 0.201629 Time: 90.748480 seconds
Dev Err: 0.211440 Time: 6.398328 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
I-MISC	0	0	0	1	0	0	0	0	0	0	0	1	113	0	0	0	0
I-ORG	0	0	0	3	0	0	0	0	0	0	0	8	280	8	0	0	0
I-PER	0	0	0	4	0	0	0	0	0	0	0	5	64	0	0	0	0
L-LOC	0	0	0	4	0	0	0	0	0	0	0	2	192	41	0	0	0
L-MISC	0	0	0	2	0	0	0	0	0	0	0	1	276	0	0	0	0
L-ORG	0	0	0	5	0	0	0	0	0	0	0	8	384	48	0	0	0
L-PER	0	0	0	104	0	0	0	0	0	0	0	178	896	47	0	0	0
O	0	0	0	772	0	0	0	0	0	0	0	198	41254	535	0	0	0
U-LOC	0	0	0	75	0	0	0	0	0	0	0	25	1113	380	0	0	0
U-MISC	0	0	0	11	0	0	0	0	0	0	0	3	620	3	0	0	0
U-ORG	0	0	0	26	0	0	0	0	0	0	0	5	709	140	0	0	0
U-PER	0	0	0	6	0	0	0	0	0	0	0	9	584	5	0	0	0
f1:  (81.87181184533313, 19.60480433940333, 8.57336496103016, 11.929741836614403)
...training the model
Epoch: 1 Loss: 0.885528 Error: 0.189172 Time: 91.775849 seconds
Dev Err: 0.181129 Time: 6.402166 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	0	23	0	0	0	0	0	0	0	29	895	176	0	0	0
b-MISC	0	0	0	80	0	0	0	0	0	0	0	57	1398	11	0	48	0
b-ORG	0	0	0	177	0	0	0	0	0	0	0	72	2292	78	0	3	0
b-PER	0	0	0	2148	0	0	0	2	0	0	0	386	3514	329	0	0	0
i-LOC	0	0	0	1	0	0	0	0	0	0	0	14	306	58	0	0	0
i-MISC	0	0	0	16	0	0	0	1	0	0	0	64	895	13	0	0	0
i-ORG	0	0	0	40	0	0	0	0	0	0	0	127	2098	56	0	0	0
i-PER	0	0	0	191	0	0	0	2	0	0	0	270	1082	21	0	0	0
l-LOC	0	0	0	22	0	0	0	0	0	0	0	101	942	239	0	0	0
l-MISC	0	0	0	24	0	0	0	0	0	0	0	130	1309	47	0	0	0
l-ORG	0	0	0	33	0	0	0	0	0	0	0	253	2262	125	0	6	0
l-PER	0	0	0	474	0	0	0	0	0	0	0	3221	4202	374	0	0	0
o	0	0	0	675	0	0	0	6	0	0	0	908	214263	365	0	0	0
u-LOC	0	0	0	331	0	0	0	0	0	0	0	178	6963	3256	0	0	0
u-MISC	0	0	0	132	0	0	0	0	0	0	0	86	4180	48	0	0	0
u-ORG	0	0	0	264	0	0	0	0	0	0	0	130	5302	361	0	96	0
u-PER	0	0	0	102	0	0	0	0	0	0	0	136	3693	91	0	6	0
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	4	0	0	0	0	0	0	0	7	182	46	0	0	0
B-MISC	0	0	0	18	0	0	0	0	0	0	0	9	242	2	0	8	0
B-ORG	0	0	0	34	0	0	0	0	0	0	0	10	385	16	0	0	0
B-PER	0	0	0	417	0	0	0	0	0	0	0	53	684	71	0	0	0
I-LOC	0	0	0	0	0	0	0	0	0	0	0	4	18	4	0	0	0
I-MISC	0	0	0	1	0	0	0	0	0	0	0	12	102	0	0	0	0
I-ORG	0	0	0	3	0	0	0	0	0	0	0	21	264	11	0	0	0
I-PER	0	0	0	3	0	0	0	0	0	0	0	13	53	4	0	0	0
L-LOC	0	0	0	3	0	0	0	0	0	0	0	25	163	48	0	0	0
L-MISC	0	0	0	6	0	0	0	0	0	0	0	29	236	8	0	0	0
L-ORG	0	0	0	4	0	0	0	0	0	0	0	47	369	24	0	1	0
L-PER	0	0	0	51	0	0	0	0	0	0	0	524	604	46	0	0	0
O	0	0	0	121	0	0	0	0	0	0	0	162	42384	92	0	0	0
U-LOC	0	0	0	47	0	0	0	0	0	0	0	25	1020	501	0	0	0
U-MISC	0	0	0	20	0	0	0	0	0	0	0	10	598	9	0	0	0
U-ORG	0	0	0	38	0	0	0	0	0	0	0	15	753	61	0	13	0
U-PER	0	0	0	13	0	0	0	0	0	0	0	15	566	10	0	0	0
f1:  (85.3529846968576, 51.19453924914675, 15.249068112504235, 23.498694516971277)
...training the model
Epoch: 1 Loss: 0.754119 Error: 0.177656 Time: 92.515308 seconds
Dev Err: 0.170637 Time: 6.420304 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	0	106	0	0	0	0	0	0	0	28	747	241	0	1	0
b-MISC	0	0	0	175	0	0	0	0	0	0	0	77	1151	91	0	100	0
b-ORG	0	0	4	360	0	0	0	0	0	0	0	67	1865	311	0	15	0
b-PER	0	0	0	2934	0	0	0	0	0	0	0	343	2382	718	0	1	1
i-LOC	0	0	0	0	0	0	0	0	0	0	0	38	291	50	0	0	0
i-MISC	0	0	0	37	0	0	0	1	0	0	0	175	760	16	0	0	0
i-ORG	0	0	0	71	0	0	0	0	0	0	0	430	1720	100	0	0	0
i-PER	0	0	0	259	0	0	0	30	0	0	0	341	895	41	0	0	0
l-LOC	0	0	0	20	0	0	0	0	0	0	0	351	643	289	0	1	0
l-MISC	0	0	0	25	0	0	0	0	0	60	16	394	934	81	0	0	0
l-ORG	0	0	0	58	0	0	0	0	0	3	20	675	1664	234	0	25	0
l-PER	0	0	0	370	0	0	0	0	0	0	0	4780	2553	560	0	5	3
o	0	0	0	826	0	0	0	13	0	0	0	1129	213678	568	0	3	0
u-LOC	0	0	0	537	0	0	0	0	0	0	0	223	5817	4108	0	42	1
u-MISC	0	0	0	234	0	0	0	0	0	0	0	202	3811	199	0	0	0
u-ORG	0	0	2	500	0	0	0	0	0	0	0	206	4152	1079	0	212	2
u-PER	0	0	0	225	0	0	0	0	0	0	0	201	3171	366	0	48	17
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	27	0	0	0	0	0	0	0	5	147	60	0	0	0
B-MISC	0	0	0	37	0	0	0	0	0	0	0	14	198	14	0	16	0
B-ORG	0	0	2	66	0	0	0	0	0	0	0	10	292	70	0	5	0
B-PER	0	0	0	579	0	0	0	0	0	0	0	42	455	149	0	0	0
I-LOC	0	0	0	0	0	0	0	0	0	0	0	8	17	1	0	0	0
I-MISC	0	0	0	4	0	0	0	0	0	0	0	34	74	3	0	0	0
I-ORG	0	0	0	5	0	0	0	0	0	0	0	74	195	25	0	0	0
I-PER	0	0	0	5	0	0	0	0	0	0	0	29	33	6	0	0	0
L-LOC	0	0	0	3	0	0	0	0	0	0	0	73	103	60	0	0	0
L-MISC	0	0	0	2	0	0	0	0	0	12	0	87	165	13	0	0	0
L-ORG	0	0	0	8	0	0	0	0	0	0	3	127	256	44	0	7	0
L-PER	0	0	0	25	0	0	0	0	0	0	0	799	315	84	0	1	1
O	0	0	0	149	0	0	0	1	0	0	0	210	42294	104	0	1	0
U-LOC	0	0	0	93	0	0	0	0	0	0	0	32	837	627	0	4	0
U-MISC	0	0	0	42	0	0	0	0	0	0	0	28	538	29	0	0	0
U-ORG	0	0	0	75	0	0	0	0	0	0	0	22	562	190	0	31	0
U-PER	0	0	0	32	0	0	0	0	0	0	0	29	483	51	0	6	3
f1:  (86.3478836493906, 43.53026458861907, 20.349034225686207, 27.733518069506985)
...training the model
Epoch: 1 Loss: 0.705246 Error: 0.171198 Time: 92.986417 seconds
Dev Err: 0.165900 Time: 6.423083 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	0	199	0	0	0	0	0	0	0	58	558	308	0	0	0
b-MISC	0	32	4	287	0	0	0	0	0	0	0	74	957	180	0	60	0
b-ORG	0	0	25	628	0	0	0	0	0	0	0	130	1460	357	0	22	0
b-PER	0	0	0	3207	0	0	0	0	0	0	0	566	1441	1160	0	2	3
i-LOC	0	0	0	0	0	0	0	8	0	0	0	65	255	51	0	0	0
i-MISC	0	0	0	44	0	0	0	13	0	0	0	263	651	18	0	0	0
i-ORG	0	0	0	159	0	0	2	36	2	0	0	701	1342	74	0	5	0
i-PER	0	0	0	128	0	0	0	299	0	0	0	299	709	131	0	0	0
l-LOC	0	0	0	12	0	0	0	0	33	0	0	486	497	276	0	0	0
l-MISC	0	0	0	19	0	0	0	0	1	100	2	546	761	81	0	0	0
l-ORG	0	0	0	37	0	0	0	0	6	3	138	1072	1208	200	0	15	0
l-PER	0	0	0	224	0	0	0	0	4	0	3	5965	1371	695	0	8	1
o	0	0	0	907	0	0	0	80	4	0	1	1995	211132	2092	0	5	1
u-LOC	0	0	0	622	0	0	0	0	0	0	0	578	4279	5229	0	3	17
u-MISC	0	0	0	367	0	0	0	0	0	0	0	319	3164	589	0	0	7
u-ORG	0	0	35	529	0	0	0	0	0	0	15	500	3498	639	0	912	25
u-PER	0	0	0	345	0	0	0	0	0	0	0	459	2538	580	0	47	59
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	47	0	0	0	0	0	0	0	10	105	77	0	0	0
B-MISC	0	4	0	59	0	0	0	0	0	0	0	10	165	33	0	8	0
B-ORG	0	0	8	110	0	0	0	0	0	0	0	17	230	75	0	5	0
B-PER	0	0	0	633	0	0	0	0	0	0	0	87	272	232	0	0	1
I-LOC	0	0	0	0	0	0	0	0	0	0	0	12	12	2	0	0	0
I-MISC	0	0	0	3	0	0	0	0	0	0	0	50	59	3	0	0	0
I-ORG	0	0	0	20	0	0	0	0	0	0	0	113	143	19	0	4	0
I-PER	0	0	0	4	0	0	0	0	0	0	0	32	25	12	0	0	0
L-LOC	0	0	0	1	0	0	0	0	16	0	0	99	75	48	0	0	0
L-MISC	0	0	0	6	0	0	0	0	0	12	0	107	138	16	0	0	0
L-ORG	0	0	0	1	0	0	0	0	2	0	30	184	184	41	0	3	0
L-PER	0	0	0	11	0	0	0	0	0	0	1	950	155	106	0	2	0
O	0	0	0	195	0	0	0	1	0	0	0	385	41645	532	0	1	0
U-LOC	0	0	0	86	0	0	0	0	0	0	0	84	579	843	0	0	1
U-MISC	0	0	0	51	0	0	0	0	0	0	0	47	439	98	0	0	2
U-ORG	0	0	0	72	0	0	0	0	0	0	0	67	444	135	0	160	2
U-PER	0	0	0	44	0	0	0	0	0	0	0	62	384	95	0	8	11
f1:  (86.2738989914723, 41.50127226463105, 27.634700101660453, 33.17737998372661)
...training the model
Epoch: 1 Loss: 0.680132 Error: 0.166881 Time: 93.347115 seconds
Dev Err: 0.152911 Time: 6.401358 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	0	153	0	0	0	0	0	0	0	25	637	306	0	0	2
b-MISC	0	68	31	213	0	0	0	1	1	0	0	47	1039	178	10	0	6
b-ORG	0	0	43	476	0	0	0	0	0	0	0	63	1651	375	0	13	1
b-PER	0	0	0	3708	0	0	0	2	0	0	0	254	1715	695	1	0	4
i-LOC	0	0	0	0	1	0	0	4	0	0	0	62	263	49	0	0	0
i-MISC	0	0	0	40	0	8	0	11	2	0	0	226	673	29	0	0	0
i-ORG	0	0	0	150	0	0	7	24	9	0	2	527	1494	104	0	4	0
i-PER	0	0	0	139	0	0	1	438	0	0	0	181	772	35	0	0	0
l-LOC	0	0	0	2	0	0	1	0	75	2	5	483	490	246	0	0	0
l-MISC	0	0	0	11	0	0	0	0	3	102	14	507	768	103	0	1	1
l-ORG	0	0	0	47	0	0	0	0	21	2	204	1021	1163	196	0	21	4
l-PER	0	0	0	208	0	0	0	2	28	0	3	6133	1416	441	0	22	18
o	0	0	3	444	0	0	0	45	3	2	6	916	213573	1205	0	5	15
u-LOC	0	0	0	324	0	0	0	0	0	0	2	324	4776	5224	19	14	45
u-MISC	0	0	0	117	0	0	0	0	0	0	0	149	3532	628	4	0	16
u-ORG	0	0	40	336	0	0	0	0	0	0	7	240	3883	624	3	942	78
u-PER	0	0	0	164	0	0	0	0	1	0	0	265	2789	586	7	76	140
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	38	0	0	0	0	0	0	0	6	118	76	0	0	1
B-MISC	0	12	1	44	0	0	0	0	0	0	0	8	183	29	0	0	2
B-ORG	0	0	12	89	0	0	0	0	0	0	0	9	267	65	0	3	0
B-PER	0	0	0	733	0	0	0	0	0	0	0	38	318	135	0	0	1
I-LOC	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0
I-MISC	0	0	0	5	0	0	0	0	0	0	0	41	64	5	0	0	0
I-ORG	0	0	0	21	0	0	1	0	2	0	1	90	158	24	0	2	0
I-PER	0	0	0	7	0	0	0	0	0	0	0	35	27	4	0	0	0
L-LOC	0	0	0	0	0	0	0	0	18	0	1	98	75	47	0	0	0
L-MISC	0	0	0	0	0	0	0	0	0	16	1	92	148	21	0	1	0
L-ORG	0	0	0	3	0	0	0	0	4	0	39	181	175	38	0	4	1
L-PER	0	0	0	5	0	0	0	0	1	0	1	966	176	71	0	2	3
O	0	0	0	84	0	0	0	1	0	0	1	164	42263	242	0	1	3
U-LOC	0	0	0	42	0	0	0	0	0	0	0	46	643	852	2	1	7
U-MISC	0	0	0	20	0	0	0	0	0	0	0	21	499	95	0	0	2
U-ORG	0	0	2	52	0	0	0	0	0	0	0	33	499	132	1	153	8
U-PER	0	0	0	15	0	0	0	0	0	0	0	38	423	92	0	12	24
f1:  (87.78669054943343, 52.46489393486704, 29.752626228397155, 37.97167261325548)
...training the model
Epoch: 1 Loss: 0.679227 Error: 0.163293 Time: 93.402554 seconds
Dev Err: 0.156679 Time: 6.437197 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	2	307	0	0	0	0	0	0	0	54	505	255	0	0	0
b-MISC	0	96	4	420	0	0	0	0	1	0	0	78	854	118	19	2	2
b-ORG	0	0	58	921	0	0	0	0	0	0	0	79	1249	262	3	48	2
b-PER	1	0	0	4020	0	0	0	6	0	0	0	401	1066	876	3	4	2
i-LOC	0	0	0	1	19	0	0	22	0	0	0	81	227	29	0	0	0
i-MISC	0	0	0	70	0	12	1	30	3	0	0	250	604	18	0	1	0
i-ORG	0	0	0	266	1	0	13	61	19	0	6	638	1242	60	1	14	0
i-PER	0	0	0	123	2	0	0	572	3	0	0	156	597	105	0	8	0
l-LOC	0	0	0	17	0	0	1	0	109	0	0	573	398	206	0	0	0
l-MISC	0	0	0	28	0	0	0	0	7	116	3	625	648	78	0	1	4
l-ORG	0	0	0	70	0	0	4	0	28	5	249	1257	899	135	0	31	1
l-PER	0	0	0	240	0	0	0	7	90	0	9	6356	939	544	0	77	9
o	0	0	2	900	0	0	1	75	11	2	3	1540	211604	2038	2	29	10
u-LOC	1	0	6	596	0	0	0	0	1	0	4	570	4543	4889	44	28	46
u-MISC	0	0	0	264	0	0	0	0	0	0	0	229	3472	437	9	4	31
u-ORG	0	0	60	593	0	0	0	0	0	0	19	430	3262	443	4	1287	55
u-PER	0	0	0	275	0	0	0	0	3	0	0	496	2443	453	21	102	235
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	68	0	0	0	0	0	0	0	11	93	67	0	0	0
B-MISC	0	12	1	81	0	0	0	0	0	0	0	14	143	25	2	1	0
B-ORG	0	0	20	173	0	0	0	0	0	0	0	11	189	43	0	9	0
B-PER	0	0	0	808	0	0	0	0	0	0	0	68	189	157	1	1	1
I-LOC	0	0	0	0	0	0	0	0	0	0	0	17	8	1	0	0	0
I-MISC	0	0	0	12	0	0	0	0	0	0	0	44	55	4	0	0	0
I-ORG	0	0	0	36	0	0	1	0	4	0	1	114	124	13	0	6	0
I-PER	0	0	0	10	0	0	0	1	2	0	0	27	24	8	0	1	0
L-LOC	0	0	0	1	0	0	0	0	27	0	0	117	59	35	0	0	0
L-MISC	0	0	0	5	0	0	0	0	2	16	0	114	122	19	0	0	1
L-ORG	0	0	0	6	0	0	0	0	3	1	52	221	128	28	0	6	0
L-PER	0	0	0	8	0	0	0	0	11	0	2	1005	98	85	0	14	2
O	0	0	0	188	0	0	0	0	2	0	0	284	41757	519	0	8	1
U-LOC	0	0	0	83	0	0	0	0	0	0	1	86	633	772	6	5	7
U-MISC	0	0	0	44	0	0	0	0	0	0	0	33	486	66	1	1	6
U-ORG	0	0	2	97	0	0	0	0	0	0	2	52	413	98	1	210	5
U-PER	0	0	0	27	0	0	0	0	1	0	0	72	367	67	4	15	51
f1:  (87.09357112261984, 45.17879161528977, 31.040325313453067, 36.79823239931706)
...training the model
Epoch: 1 Loss: 0.646589 Error: 0.161212 Time: 93.596142 seconds
Dev Err: 0.142030 Time: 6.384707 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	17	200	0	0	0	0	0	0	0	25	638	237	6	0	0
b-MISC	0	106	20	306	0	0	0	1	0	0	0	28	999	104	20	4	6
b-ORG	0	0	113	790	0	0	0	0	0	0	0	30	1422	195	23	49	0
b-PER	1	0	10	4432	0	0	1	16	2	0	0	174	1475	265	2	0	1
i-LOC	0	0	0	3	19	0	4	11	0	0	0	59	261	22	0	0	0
i-MISC	0	0	0	52	0	12	4	22	0	0	3	197	692	7	0	0	0
i-ORG	0	0	0	261	1	0	66	61	9	0	6	432	1424	46	1	14	0
i-PER	0	0	0	71	1	0	1	671	1	0	0	130	677	14	0	0	0
l-LOC	0	0	0	12	0	0	2	0	89	0	5	401	585	210	0	0	0
l-MISC	0	0	0	12	0	0	1	0	5	116	15	464	830	66	0	1	0
l-ORG	0	0	0	43	0	0	3	0	16	1	301	950	1190	135	0	38	2
l-PER	0	0	0	179	0	0	1	11	34	0	6	6178	1602	236	0	6	18
o	0	0	14	509	0	0	5	30	4	1	9	489	214666	471	8	8	3
u-LOC	4	0	22	281	0	0	0	0	3	4	9	184	4979	5112	65	30	35
u-MISC	0	0	0	114	0	0	0	0	0	0	0	112	3634	525	41	0	20
u-ORG	0	0	50	321	0	0	0	0	0	0	13	129	3503	489	21	1535	92
u-PER	0	0	0	157	0	0	0	0	0	0	0	274	2789	522	16	94	176
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	4	48	0	0	0	0	0	0	0	5	118	62	2	0	0
B-MISC	0	16	5	65	0	0	0	0	0	0	0	6	164	19	3	0	1
B-ORG	0	0	33	143	0	0	0	0	0	0	0	5	218	34	2	10	0
B-PER	0	0	2	880	0	0	0	0	0	0	0	26	270	47	0	0	0
I-LOC	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0
I-MISC	0	0	0	9	0	0	0	0	0	0	1	36	68	1	0	0	0
I-ORG	0	0	0	40	0	0	7	1	3	0	1	83	145	11	0	8	0
I-PER	0	0	0	10	0	0	0	0	1	0	0	30	29	3	0	0	0
L-LOC	0	0	0	1	0	0	0	0	19	0	1	89	89	40	0	0	0
L-MISC	0	0	0	0	0	0	0	0	1	16	2	85	161	13	0	1	0
L-ORG	0	0	0	4	0	0	0	0	1	0	58	172	174	27	0	8	1
L-PER	0	0	0	14	0	0	0	0	5	0	2	981	183	35	0	1	4
O	0	0	2	101	0	0	0	0	1	0	1	101	42445	106	0	1	1
U-LOC	0	0	1	37	0	0	0	0	0	0	1	25	686	824	8	5	6
U-MISC	0	0	0	22	0	0	0	0	0	0	0	15	523	71	3	0	3
U-ORG	0	0	4	54	0	0	0	0	0	0	1	17	428	116	5	243	12
U-PER	0	0	0	13	0	0	0	0	0	0	0	40	428	78	0	14	31
f1:  (88.69592305595576, 58.0166270783848, 33.107421213148086, 42.157497303128366)
...training the model
Epoch: 1 Loss: 3.347677 Error: 0.158180 Time: 93.326876 seconds
Dev Err: 0.153318 Time: 6.391108 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	17	0	12	505	0	0	0	2	0	0	0	42	262	283	0	0	0
b-MISC	5	136	27	628	0	0	0	0	0	0	0	73	544	146	27	0	8
b-ORG	8	0	167	1263	0	0	4	4	0	0	0	100	690	294	2	83	7
b-PER	4	0	8	4666	0	0	6	26	2	0	0	312	485	862	5	3	0
i-LOC	0	0	0	8	22	0	7	65	1	0	0	82	167	27	0	0	0
i-MISC	0	0	0	77	1	18	15	76	13	0	0	312	448	25	0	4	0
i-ORG	4	0	0	332	6	0	136	142	39	0	2	727	848	71	0	14	0
i-PER	0	0	0	127	9	0	10	729	3	0	0	169	396	123	0	0	0
