{'opt': 'adam', 'truncate': -1, 'feat': 'basic_seg_cap', 'activation': ['bi-relu'], 'drates': [0, 0], 'sample': False, 'epoch': 1, 'bias': [1], 'lr': 0.005, 'fepoch': 300, 'hidden': [50], 'data': '', 'norm': 7.0}
['c= ', 'c=!', 'c="', 'c=$', 'c=%', 'c=&', "c='", 'c=(', 'c=)', 'c=*', 'c=+', 'c=,', 'c=-', 'c=.', 'c=/', 'c=0', 'c=1', 'c=2', 'c=3', 'c=4', 'c=5', 'c=6', 'c=7', 'c=8', 'c=9', 'c=:', 'c=;', 'c==', 'c=?', 'c=@', 'c=A', 'c=B', 'c=C', 'c=D', 'c=E', 'c=F', 'c=G', 'c=H', 'c=I', 'c=J', 'c=K', 'c=L', 'c=M', 'c=N', 'c=O', 'c=P', 'c=Q', 'c=R', 'c=S', 'c=T', 'c=U', 'c=V', 'c=W', 'c=X', 'c=Y', 'c=Z', 'c=[', 'c=]', 'c=`', 'c=a', 'c=b', 'c=c', 'c=d', 'c=e', 'c=f', 'c=g', 'c=h', 'c=i', 'c=j', 'c=k', 'c=l', 'c=m', 'c=n', 'c=o', 'c=p', 'c=q', 'c=r', 'c=s', 'c=t', 'c=u', 'c=v', 'c=w', 'c=x', 'c=y', 'c=z', 'is_capital', 'isspace', 'wend', 'wstart']
['b-LOC' 'b-MISC' 'b-ORG' 'b-PER' 'i-LOC' 'i-MISC' 'i-ORG' 'i-PER' 'l-LOC'
 'l-MISC' 'l-ORG' 'l-PER' 'o' 'u-LOC' 'u-MISC' 'u-ORG' 'u-PER']
# of sents:  [14041, 3250, 3453]
# of feats:  89
# of lbls:  17
(1079622, 89) (272309, 89)
(1079622,) (272309,)
14041 3250
...building the model
...training the model
Epoch: 1 Loss: 256391.778696 Error: 0.200156 Time: 136.234187 seconds
Dev Err: 0.376337 Time: 8.707991 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-ORG	0	0	5	1588	0	0	0	0	0	0	0	264	483	243	0	39	0
b-PER	0	0	0	4784	0	0	0	0	0	0	0	507	368	718	0	2	0
i-LOC	0	0	0	5	14	0	0	74	0	0	0	89	168	29	0	0	0
i-MISC	0	0	0	65	0	0	0	126	0	0	0	387	385	26	0	0	0
i-ORG	0	0	0	212	1	0	0	215	0	0	0	1002	753	137	0	1	0
i-PER	0	0	0	133	0	0	0	683	0	0	0	168	543	39	0	0	0
l-LOC	0	0	0	69	0	0	0	0	0	0	0	802	172	261	0	0	0
l-MISC	0	0	0	80	0	0	0	0	0	52	20	791	418	149	0	0	0
l-ORG	0	0	0	218	0	0	0	0	0	0	45	1518	567	314	0	17	0
l-PER	0	0	0	601	0	0	0	0	0	0	1	6796	458	415	0	0	0
o	0	0	0	13800	0	0	0	1731	0	0	4	4075	195015	1589	0	2	1
u-LOC	0	0	0	3974	0	0	0	0	0	0	20	728	1936	4065	0	5	0
u-MISC	0	0	0	2665	0	0	0	0	0	0	0	624	704	451	0	2	0
u-ORG	0	0	0	1780	0	0	0	0	0	0	2	445	2972	520	0	434	0
u-PER	0	0	0	2101	0	0	0	0	0	0	0	445	946	479	0	57	0
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	125	0	0	0	0	0	0	0	9	32	73	0	0	0
B-MISC	0	0	0	172	0	0	0	0	0	0	0	10	59	22	0	16	0
B-ORG	0	0	2	280	0	0	0	0	0	0	0	18	91	44	0	10	0
B-PER	0	0	0	918	0	0	0	0	0	0	0	73	81	153	0	0	0
I-LOC	0	0	0	0	0	0	0	0	0	0	0	20	4	2	0	0	0
I-MISC	0	0	0	7	0	0	0	0	0	0	0	73	31	4	0	0	0
I-ORG	0	0	0	27	0	0	0	0	0	0	0	170	80	21	0	1	0
I-PER	0	0	0	10	0	0	0	0	0	0	0	36	19	8	0	0	0
L-LOC	0	0	0	6	0	0	0	0	0	0	0	154	27	52	0	0	0
L-MISC	0	0	0	18	0	0	0	0	0	8	4	153	69	27	0	0	0
L-ORG	0	0	0	28	0	0	0	0	0	0	9	255	96	52	0	5	0
L-PER	0	0	0	61	0	0	0	0	0	0	0	1069	33	62	0	0	0
O	0	0	0	2895	0	0	0	21	0	0	2	919	38629	293	0	0	0
U-LOC	0	0	0	649	0	0	0	0	0	0	0	64	253	627	0	0	0
U-MISC	0	0	0	423	0	0	0	0	0	0	0	57	86	71	0	0	0
U-ORG	0	0	0	308	0	0	0	0	0	0	0	45	367	85	0	75	0
U-PER	0	0	0	339	0	0	0	0	0	0	0	48	132	78	0	7	0
f1:  (80.48167906234181, 19.339622641509436, 26.39783124364622, 22.32411520275111)
...training the model
Epoch: 1 Loss: 0.672737 Error: 0.165081 Time: 132.256826 seconds
Dev Err: 0.146940 Time: 8.746629 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	0	565	0	0	0	0	0	0	0	30	156	372	0	0	0
b-MISC	0	68	1	906	0	0	0	0	0	0	0	35	398	167	0	18	1
b-ORG	0	4	47	1595	0	0	0	0	0	0	0	40	482	402	0	52	0
b-PER	0	0	9	4959	0	0	0	0	0	0	0	284	314	813	0	0	0
i-LOC	0	0	0	4	29	0	0	45	0	0	0	84	210	7	0	0	0
i-MISC	0	0	1	78	0	0	1	92	0	0	0	340	441	36	0	0	0
i-ORG	0	0	1	253	1	0	18	134	0	0	7	810	911	177	0	9	0
i-PER	0	0	0	43	0	0	4	739	0	0	1	150	605	24	0	0	0
l-LOC	0	0	0	27	0	0	0	0	82	0	0	762	190	243	0	0	0
l-MISC	0	0	0	30	0	0	0	0	0	86	9	735	455	193	0	2	0
l-ORG	0	0	1	83	0	0	0	1	2	2	128	1311	650	473	0	28	0
l-PER	0	0	1	219	0	0	0	4	1	0	39	7002	515	447	0	3	40
o	0	0	1	1364	0	0	0	246	3	0	6	977	211120	2442	0	14	44
u-LOC	0	0	0	1439	0	0	0	0	0	0	12	181	1983	7043	1	17	52
u-MISC	0	0	0	1080	0	0	0	0	0	0	2	238	968	2126	0	3	29
u-ORG	0	0	23	931	0	0	0	0	0	0	3	190	2739	1357	0	780	130
u-PER	0	0	0	705	0	0	0	0	0	0	0	341	1389	1284	0	114	195
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	114	0	0	0	0	0	0	0	6	34	85	0	0	0
B-MISC	0	12	0	173	0	0	0	0	0	0	0	6	57	27	0	4	0
B-ORG	0	1	12	270	0	0	0	0	0	0	0	6	78	64	0	14	0
B-PER	0	0	1	954	0	0	0	0	0	0	0	40	71	159	0	0	0
I-LOC	0	0	0	1	0	0	0	0	0	0	0	16	7	2	0	0	0
I-MISC	0	0	0	12	0	0	0	0	0	0	0	65	34	4	0	0	0
I-ORG	0	0	0	32	0	0	0	0	0	0	1	134	94	31	0	7	0
I-PER	0	0	0	6	0	0	0	0	0	0	1	38	23	5	0	0	0
L-LOC	0	0	0	2	0	0	0	0	23	0	0	150	26	38	0	0	0
L-MISC	0	0	0	5	0	0	0	0	0	12	1	147	79	34	0	1	0
L-ORG	0	0	0	12	0	0	0	0	0	0	27	236	85	79	0	6	0
L-PER	0	0	0	21	0	0	0	0	0	0	8	1094	27	67	0	0	8
O	0	0	0	249	0	0	0	6	1	0	0	223	41834	434	0	2	10
U-LOC	0	0	0	212	0	0	0	0	0	0	0	27	222	1118	0	3	11
U-MISC	0	0	0	155	0	0	0	0	0	0	0	36	109	330	0	0	7
U-ORG	0	0	1	146	0	0	0	0	0	0	0	24	342	226	0	121	20
U-PER	0	0	0	89	0	0	0	0	0	0	0	55	185	213	0	17	45
f1:  (88.10404579260933, 38.96332863187588, 37.44493392070485, 38.18904440988422)
...training the model
Epoch: 1 Loss: 0.578074 Error: 0.153303 Time: 132.412404 seconds
Dev Err: 0.134839 Time: 8.731620 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	1	0	7	667	0	0	0	0	0	0	0	36	123	289	0	0	0
b-MISC	2	92	25	943	0	0	0	0	0	0	0	34	310	149	24	10	5
b-ORG	1	1	178	1531	0	0	10	0	0	0	0	32	301	493	0	74	1
b-PER	1	0	18	5671	0	0	4	0	0	0	0	228	117	337	3	0	0
i-LOC	0	0	0	9	34	0	17	138	0	0	0	82	95	4	0	0	0
i-MISC	0	0	0	82	0	4	42	149	1	0	1	346	349	15	0	0	0
i-ORG	0	0	2	341	1	0	154	238	1	0	3	862	621	97	0	1	0
i-PER	0	0	0	28	0	0	37	1050	0	0	0	169	259	23	0	0	0
l-LOC	0	0	0	11	0	0	0	0	138	0	0	893	105	153	0	4	0
l-MISC	0	0	0	17	0	0	1	0	0	110	9	896	343	134	0	0	0
l-ORG	0	0	0	39	0	0	6	0	6	0	239	1704	339	315	0	31	0
l-PER	0	0	0	65	0	0	0	0	8	0	4	7753	129	293	0	5	14
o	0	0	34	1316	1	0	36	262	5	0	7	1075	210177	3157	10	42	95
u-LOC	0	0	6	542	0	0	1	0	2	0	12	240	1536	8203	28	65	93
u-MISC	0	1	10	450	0	0	0	0	0	0	0	293	868	2740	8	10	66
u-ORG	0	0	69	520	0	0	3	0	0	0	0	263	1906	1741	1	1467	183
u-PER	0	0	2	331	0	0	0	0	0	0	0	354	1235	1647	24	123	312
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	145	0	0	0	0	0	0	0	7	25	62	0	0	0
B-MISC	0	16	4	174	0	0	0	0	0	0	0	7	48	23	6	0	1
B-ORG	0	0	43	261	0	0	0	0	0	0	0	6	46	76	0	13	0
B-PER	0	0	2	1100	0	0	0	0	0	0	0	38	25	59	1	0	0
I-LOC	0	0	0	2	0	0	0	0	0	0	0	16	7	1	0	0	0
I-MISC	0	0	0	13	0	0	0	0	0	0	0	62	38	2	0	0	0
I-ORG	0	0	0	47	0	0	2	0	0	0	0	140	87	22	0	1	0
I-PER	0	0	0	4	0	0	0	0	0	0	0	39	24	6	0	0	0
L-LOC	0	0	0	1	0	0	0	0	32	0	0	162	20	24	0	0	0
L-MISC	0	0	0	3	0	0	0	0	0	16	1	167	66	26	0	0	0
L-ORG	0	0	0	4	0	0	0	0	1	0	48	278	57	51	0	6	0
L-PER	0	0	0	3	0	0	0	0	1	0	1	1169	6	42	0	1	2
O	0	0	3	271	0	0	0	1	2	0	2	215	41679	565	0	4	17
U-LOC	0	0	1	64	0	0	0	0	0	0	1	34	200	1263	3	11	16
U-MISC	0	0	1	56	0	0	0	0	0	0	0	42	113	412	1	1	11
U-ORG	0	0	2	82	0	0	0	0	0	0	0	34	231	281	0	224	26
U-PER	0	0	0	37	0	0	0	0	0	0	0	52	189	252	3	17	54
f1:  (88.87309684202329, 44.65822784810127, 44.83226025076245, 44.7450748287816)
...training the model
Epoch: 1 Loss: 0.537639 Error: 0.146337 Time: 133.554802 seconds
Dev Err: 0.135236 Time: 8.738869 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	17	0	19	702	0	0	4	0	0	0	0	25	103	253	0	0	0
b-MISC	15	6	148	878	0	0	0	0	0	0	0	34	360	127	7	15	4
b-ORG	14	0	371	1484	0	0	2	0	0	0	0	19	316	359	2	51	4
b-PER	6	0	51	5841	0	0	14	2	0	0	0	158	106	200	1	0	0
i-LOC	0	0	0	14	35	0	17	139	0	0	0	75	95	4	0	0	0
i-MISC	0	0	8	125	0	0	74	149	2	0	0	285	340	4	0	2	0
i-ORG	0	0	20	464	1	0	204	235	4	0	5	605	693	87	0	3	0
i-PER	0	0	0	49	1	0	32	1106	0	0	0	160	206	12	0	0	0
l-LOC	0	0	0	34	0	0	1	0	153	0	11	836	113	155	0	1	0
l-MISC	0	0	0	49	0	0	5	0	2	58	83	785	375	150	0	3	0
l-ORG	0	0	0	83	0	0	9	2	13	0	345	1431	465	285	0	46	0
l-PER	0	0	0	121	0	0	1	8	3	0	15	7508	186	390	0	22	17
o	4	0	45	1648	1	0	37	372	4	0	7	1125	210253	2560	6	92	63
u-LOC	15	0	5	1008	0	0	1	0	0	0	8	231	1592	7618	12	121	117
u-MISC	1	0	30	945	0	0	0	1	0	0	0	234	971	2129	26	29	80
u-ORG	7	0	105	726	0	0	7	0	0	0	1	282	1896	1383	5	1597	144
u-PER	0	0	0	540	0	0	0	0	0	0	0	358	1177	1396	12	200	345
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	1	0	3	153	0	0	0	0	0	0	0	5	19	58	0	0	0
B-MISC	3	0	26	159	0	0	0	0	0	0	0	7	59	23	0	1	1
B-ORG	1	0	75	256	0	0	0	0	0	0	0	3	45	56	0	9	0
B-PER	1	0	5	1135	0	0	1	0	0	0	0	25	21	37	0	0	0
I-LOC	0	0	0	3	0	0	0	0	0	0	0	15	7	1	0	0	0
I-MISC	0	0	1	19	0	0	2	0	1	0	0	54	38	0	0	0	0
I-ORG	0	0	1	66	0	0	14	0	1	0	0	104	90	22	0	1	0
I-PER	0	0	0	10	0	0	0	0	0	0	0	38	22	3	0	0	0
L-LOC	0	0	0	5	0	0	0	0	34	0	3	154	19	24	0	0	0
L-MISC	0	0	0	8	0	0	0	0	1	2	20	152	69	26	0	1	0
L-ORG	0	0	0	11	0	0	1	0	2	0	65	242	66	48	0	10	0
L-PER	0	0	0	12	0	0	0	0	1	0	1	1141	9	55	0	3	3
O	0	0	7	352	0	0	3	1	2	0	1	228	41690	451	0	15	9
U-LOC	0	0	0	135	0	0	0	0	0	0	0	33	203	1186	0	17	19
U-MISC	0	0	3	134	0	0	0	0	0	0	0	31	123	324	4	3	15
U-ORG	0	0	15	110	0	0	1	0	0	0	0	34	236	223	0	239	22
U-PER	0	0	0	61	0	0	0	0	0	0	0	52	182	211	1	31	66
f1:  (88.8828316654336, 43.78026381699783, 44.42561843442901, 44.10058027079304)
...training the model
Epoch: 1 Loss: 0.516059 Error: 0.140746 Time: 133.253727 seconds
Dev Err: 0.131938 Time: 8.738885 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	110	0	19	709	0	0	12	0	0	0	0	31	102	138	2	0	0
b-MISC	8	104	88	898	0	0	3	0	0	0	0	37	289	94	55	6	12
b-ORG	21	0	554	1356	0	0	9	0	0	0	0	25	339	257	8	42	11
b-PER	18	2	47	6010	0	0	52	0	0	0	0	93	74	79	4	0	0
i-LOC	0	0	0	19	46	0	32	139	0	0	0	62	81	0	0	0	0
i-MISC	0	0	6	152	0	16	113	162	2	0	0	224	311	3	0	0	0
i-ORG	0	0	26	513	2	0	359	261	0	0	1	515	557	80	0	7	0
i-PER	0	0	0	66	12	0	36	1156	0	0	0	133	153	10	0	0	0
l-LOC	0	0	0	33	0	0	7	0	192	0	6	859	92	110	0	5	0
l-MISC	0	0	0	26	0	0	5	0	1	100	38	889	287	164	0	0	0
l-ORG	0	0	0	80	0	0	23	0	17	0	314	1671	259	281	0	32	2
l-PER	0	0	0	99	0	0	8	5	19	0	5	7833	35	211	0	27	29
o	6	0	108	1527	1	0	98	290	3	0	13	868	209420	3546	56	83	198
u-LOC	14	0	18	726	0	0	3	0	5	0	11	237	1443	7740	141	92	298
u-MISC	1	0	44	421	0	0	1	0	0	0	1	332	957	2379	71	32	207
u-ORG	6	1	110	425	0	0	23	0	0	0	0	222	1668	1485	28	1799	386
u-PER	0	0	0	282	0	0	0	0	0	0	0	364	1227	1361	71	166	557
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	27	0	3	155	0	0	3	0	0	0	0	5	17	28	1	0	0
B-MISC	1	16	13	168	0	0	0	0	0	0	0	8	46	12	12	2	1
B-ORG	4	0	99	241	0	0	2	0	0	0	0	3	50	37	0	8	1
B-PER	4	0	6	1165	0	0	8	0	0	0	0	15	15	11	1	0	0
I-LOC	0	0	0	3	0	0	1	0	0	0	0	15	7	0	0	0	0
I-MISC	0	0	1	24	0	0	8	0	0	0	0	42	40	0	0	0	0
I-ORG	0	0	2	69	0	0	31	0	0	0	0	89	87	15	0	6	0
I-PER	0	0	0	13	0	0	0	1	0	0	0	33	24	2	0	0	0
L-LOC	0	0	0	5	0	0	0	0	41	0	0	158	19	16	0	0	0
L-MISC	0	0	0	4	0	0	1	0	0	16	4	168	58	28	0	0	0
L-ORG	0	0	0	8	0	0	1	0	2	0	59	275	52	43	0	5	0
L-PER	0	0	0	9	0	0	1	0	2	0	1	1175	3	26	0	5	3
O	2	0	11	293	0	0	5	0	1	0	5	181	41630	580	7	10	34
U-LOC	1	0	2	102	0	0	1	0	2	0	0	37	190	1180	24	14	40
U-MISC	0	0	6	58	0	0	0	0	0	0	0	46	125	360	9	1	32
U-ORG	0	0	20	64	0	0	5	0	0	0	0	31	202	242	3	255	58
U-PER	0	0	0	30	0	0	0	0	0	0	0	56	184	209	11	20	94
f1:  (89.16708850901445, 45.168724279835395, 46.492714334124024, 45.82115721800117)
...training the model
Epoch: 1 Loss: 0.605953 Error: 0.137163 Time: 133.658834 seconds
Dev Err: 0.124318 Time: 8.761452 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	150	0	38	670	0	0	8	0	0	0	0	25	87	141	1	2	1
b-MISC	30	51	171	829	0	0	0	0	0	0	0	35	297	94	41	20	26
b-ORG	36	0	544	1440	0	0	8	0	0	0	0	11	224	272	18	31	38
b-PER	34	2	45	6012	0	0	13	2	0	0	0	78	44	143	1	2	3
i-LOC	0	0	0	27	53	0	35	130	2	0	0	48	83	1	0	0	0
i-MISC	0	0	6	175	8	8	99	154	4	0	0	188	346	1	0	0	0
i-ORG	2	0	24	547	7	0	345	259	4	0	2	430	616	79	0	6	0
i-PER	1	0	0	53	26	0	19	1136	0	0	0	135	176	18	0	2	0
l-LOC	0	0	0	22	0	0	3	0	182	0	11	834	103	144	0	4	1
l-MISC	0	0	1	28	0	0	6	0	18	68	95	772	360	160	0	1	1
l-ORG	0	0	1	55	0	0	10	0	27	0	388	1557	323	269	0	39	10
l-PER	0	0	0	73	0	0	7	6	50	0	24	7605	165	274	0	32	35
o	5	0	79	1342	5	4	42	352	11	0	12	962	211116	1842	53	145	247
u-LOC	23	0	16	516	0	0	0	0	4	0	0	219	1444	7497	180	219	610
u-MISC	0	0	36	450	0	0	1	0	0	0	5	230	1077	1876	356	32	383
u-ORG	12	1	85	379	0	0	9	2	0	0	1	240	1387	1366	46	2045	580
u-PER	0	3	0	223	0	0	0	0	0	0	0	346	1087	1226	58	185	900
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	39	0	8	147	0	0	1	0	0	0	0	5	14	24	0	0	1
B-MISC	7	6	34	154	0	0	0	0	0	0	0	7	48	10	6	4	3
B-ORG	4	0	104	252	0	0	1	0	0	0	0	2	37	37	0	1	7
B-PER	5	0	9	1161	0	0	1	0	0	0	0	14	11	23	0	1	0
I-LOC	0	0	0	6	0	0	3	0	0	0	0	10	7	0	0	0	0
I-MISC	0	0	1	28	0	0	9	0	1	0	0	36	40	0	0	0	0
I-ORG	0	0	3	75	0	0	34	0	1	0	0	79	87	18	0	2	0
I-PER	0	0	0	10	0	0	0	2	0	0	0	34	22	5	0	0	0
L-LOC	0	0	0	2	0	0	0	0	38	0	4	156	17	20	0	2	0
L-MISC	0	0	0	5	0	0	1	0	5	12	16	147	65	28	0	0	0
L-ORG	0	0	0	6	0	0	1	0	4	0	74	257	46	48	0	8	1
L-PER	0	0	0	8	0	0	1	0	8	0	5	1150	6	38	0	5	4
O	0	0	11	298	0	1	4	0	3	0	1	195	41868	318	8	22	30
U-LOC	1	0	1	75	0	0	0	0	1	0	0	29	183	1153	34	37	79
U-MISC	0	0	4	62	0	0	0	0	0	0	1	34	138	281	54	5	58
U-ORG	2	0	15	58	0	0	2	0	0	0	0	30	172	227	5	288	81
U-PER	0	1	0	23	0	0	0	0	0	0	0	54	171	180	11	25	139
f1:  (89.7979050660021, 47.49832102081934, 47.93290410030498, 47.71462303929836)
...training the model
Epoch: 1 Loss: 0.492980 Error: 0.135389 Time: 133.662051 seconds
Dev Err: 0.127241 Time: 8.736307 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	184	1	45	647	0	0	7	0	0	0	0	26	74	135	2	2	0
b-MISC	48	20	203	791	0	0	2	0	0	0	0	44	250	151	55	9	21
b-ORG	52	0	503	1475	0	0	7	0	0	0	0	21	177	327	8	16	36
b-PER	43	1	33	6039	0	0	19	0	0	0	0	90	30	123	0	0	1
i-LOC	0	0	0	30	46	0	31	154	1	0	0	50	67	0	0	0	0
i-MISC	0	0	6	167	6	0	98	182	6	0	0	219	301	4	0	0	0
